ticker,adv_21,adv_dollars,Close
UAL,4904700.0,546972127.5352478,111.5199966430664
SO,6179647.619047619,541151740.1141212,87.56999969482422
SHW,1635304.761904762,533371007.13152206,326.1600036621094
MO,9207066.666666666,531892245.54799396,57.77000045776367
DAL,7634604.761904762,529383466.23171854,69.33999633789062
TTD,13839547.61904762,527563540.4558636,38.119998931884766
GLW,5932400.0,527153067.6208496,88.86000061035156
URI,644957.1428571428,527091225.0,817.25
SLB,13554571.42857143,522528718.2301113,38.54999923706055
ICE,3153795.238095238,514573242.5971621,163.16000366210938
COR,1489004.761904762,506321191.9615246,340.0400085449219
FDX,1733990.4761904762,504695263.7666248,291.05999755859375
KKR,3915257.1428571427,503658676.4674595,128.63999938964844
FSLR,1902866.6666666667,502927636.77164716,264.29998779296875
MMC,2668180.9523809524,499910384.86662364,187.36000061035156
ON,9216276.19047619,499890836.04064214,54.2400016784668
ORLY,5428438.095238095,496539239.19793993,91.47000122070312
MAR,1576652.380952381,494974252.3254395,313.94000244140625
TT,1257466.6666666667,492562257.2550456,391.7099914550781
APD,1973895.238095238,491144627.60009766,248.82000732421875
PH,547395.2380952381,486535839.533052,888.8200073242188
DDOG,3525128.5714285714,484634660.9390259,137.47999572753906
USB,8914528.57142857,484148058.9565277,54.310001373291016
ROST,2659723.8095238097,482606877.1212624,181.4499969482422
ROP,1069742.857142857,481469850.7786342,450.0799865722656
CME,1729904.761904762,477159607.24748886,275.8299865722656
CL,5972280.952380952,474856071.2819781,79.51000213623047
VLO,2878238.095238095,474506334.1376895,164.86000061035156
OMC,5867723.80952381,473701362.8404163,80.7300033569336
AXON,825580.9523809524,472323106.5731957,572.1099853515625
EXPE,1652980.9523809524,471099571.42857146,285.0
CDNS,1475966.6666666667,465815089.00858563,315.6000061035156
ARM,4181023.8095238097,463508302.075704,110.86000061035156
HLT,1590166.6666666667,461832093.3532715,290.42999267578125
LUV,11156342.857142856,460422274.82125413,41.27000045776367
FTNT,5705123.80952381,458178479.2143322,80.30999755859375
EQIX,594500.0,457592608.06274414,769.7100219726562
